Designator,Mid X,Mid Y,Rotation,Layer
CONN1,162.776703,-80.242292,270.0,top
D1,85.173991,-98.643054,260.0,bottom
D10,137.151705,-82.742301,270.0,bottom
D11,137.151701,-65.742292,270.0,bottom
D12,137.151697,-48.742295,270.0,bottom
D13,155.15171,-84.742276,270.0,bottom
D14,155.151702,-67.742294,270.0,bottom
D15,155.151704,-50.742295,270.0,bottom
D16,143.790921,-99.78584,285.0,bottom
D17,163.592412,-105.091623,285.0,bottom
D18,174.116051,-85.135355,285.0,bottom
D19,183.393886,-110.397425,285.0,bottom
D2,82.221978,-81.901327,260.0,bottom
D20,100.19231,-95.994923,280.0,top
D21,97.240288,-79.253199,280.0,top
D22,94.288273,-62.51146,280.0,top
D23,116.571916,-83.640832,275.0,top
D24,115.090273,-66.705516,275.0,top
D25,113.608622,-49.770217,275.0,top
D26,134.401706,-80.742296,270.0,top
D27,134.401704,-63.742289,270.0,top
D28,134.401706,-46.742298,270.0,top
D29,152.401705,-82.742285,270.0,top
D3,79.269953,-65.159594,260.0,bottom
D30,152.401706,-65.742302,270.0,top
D31,170.401701,-84.742304,270.0,top
D32,170.401702,-67.742308,270.0,top
D33,170.401702,-50.742308,270.0,top
D34,158.521295,-103.732831,255.0,top
D35,178.32278,-109.038613,255.0,top
D36,188.846428,-89.082355,255.0,top
D37,198.124254,-114.344404,255.0,top
D38,155.416707,-51.242295,270.0,top
D4,101.379951,-84.96996,265.0,bottom
D5,99.898292,-68.034647,265.0,bottom
D6,98.416652,-51.099331,265.0,bottom
D7,119.151702,-80.742307,270.0,bottom
D8,119.151704,-63.74229,270.0,bottom
D9,119.151702,-46.7423,270.0,bottom
H1,96.472368,-59.109271,5.0,top
H2,105.2907,-101.442358,10.0,top
H3,153.776696,-58.5423,0.0,top
H4,153.776705,-75.742295,0.0,top
H5,173.688135,-96.874602,345.0,top
MCU1,154.076703,-53.792306,0.0,top
O1,126.776704,-81.242302,0.0,top
PAD1,162.776703,-80.242292,270.0,top
SW,185.924259,-82.051312,345.0,top
SW1,177.238599,-79.760381,75.0,top
