Designator,Mid X,Mid Y,Rotation,Layer
CONN1,170.715251,-49.353505,90.0,top
D1,88.271152,-98.7621,262.0,bottom
D10,142.090247,-84.553505,270.0,bottom
D11,142.09025,-67.553496,270.0,bottom
D12,142.09025,-50.553499,270.0,bottom
D13,160.090244,-86.553503,270.0,bottom
D14,160.090242,-69.553497,270.0,bottom
D15,160.090249,-52.553502,270.0,bottom
D16,103.390647,-96.771599,278.0,top
D17,101.171752,-79.917005,278.0,top
D18,98.952753,-63.0624,278.0,top
D19,121.371852,-85.005601,273.0,top
D2,86.052149,-81.9075,262.0,bottom
D20,120.630345,-68.021696,273.0,top
D21,119.888852,-51.037909,273.0,top
D22,139.340248,-82.553499,270.0,top
D23,139.340242,-65.553496,270.0,top
D24,139.340254,-48.553502,270.0,top
D25,157.340253,-84.553503,270.0,top
D26,157.340245,-67.553503,270.0,top
D27,157.340254,-50.553505,270.0,top
D28,175.340252,-86.553499,270.0,top
D29,175.340249,-69.553502,270.0,top
D3,83.833251,-65.053002,262.0,bottom
D30,175.340249,-52.5535,270.0,top
D31,165.617348,-114.070901,110.0,bottom
D32,185.205841,-120.487308,105.0,bottom
D33,201.29845,-129.975705,105.0,bottom
D34,151.287047,-108.855104,70.0,top
D35,170.475449,-116.540302,75.0,top
D36,186.568046,-126.028702,75.0,top
D37,183.615646,-98.582698,180.0,bottom
D38,183.615649,-83.332697,0.0,top
D4,106.136448,-85.670801,267.0,bottom
D5,105.394853,-68.686901,267.0,bottom
D6,104.653348,-51.703102,267.0,bottom
D7,124.090244,-82.553503,270.0,bottom
D8,124.090251,-65.553502,270.0,bottom
D9,124.090252,-48.553502,270.0,bottom
H1,102.693051,-61.811201,3.0,top
H2,107.772252,-97.707699,8.0,top
H3,158.715248,-62.323498,0.0,top
H4,158.715251,-79.553504,0.0,top
H5,181.754248,-103.908201,345.0,top
MCU1,187.215252,-65.753503,0.0,top
O1,143.376249,-89.4275,0.0,top
PAD1,170.715251,-49.353505,90.0,top
SW1,149.715249,-45.3535,90.0,top
SW2,192.522646,-133.266502,165.0,top
