Designator,Mid X,Mid Y,Rotation,Layer
CONN1,196.793264,-137.495183,332.5,top
D1,98.330966,-104.713208,160.5,top
D10,152.758215,-116.683795,152.5,top
D11,160.377067,-102.048116,152.5,top
D12,167.995919,-87.412437,152.5,top
D13,166.204293,-125.938144,152.5,top
D14,173.823145,-111.302465,152.5,top
D15,181.441997,-96.666787,152.5,top
D16,319.255562,-104.713208,199.5,top
D17,313.747749,-89.159623,199.5,top
D18,308.239936,-73.606038,199.5,top
D19,298.169078,-101.563763,204.5,top
D2,103.838779,-89.159623,160.5,top
D20,291.326639,-86.549402,204.5,top
D21,284.484201,-71.535041,204.5,top
D22,279.871011,-106.598298,207.5,top
D23,272.252159,-91.962619,207.5,top
D24,264.633307,-77.326941,207.5,top
D25,264.828313,-116.683795,207.5,top
D26,257.209461,-102.048116,207.5,top
D27,249.590609,-87.412437,207.5,top
D28,251.382235,-125.938144,207.5,top
D29,243.763383,-111.302465,207.5,top
D3,109.346592,-73.606038,160.5,top
D30,236.144531,-96.666787,207.5,top
D31,148.467192,-142.826596,132.5,top
D32,162.06942,-160.529041,137.5,top
D33,171.075461,-175.914352,137.5,top
D34,269.119336,-142.826596,227.5,top
D35,255.517108,-160.529041,222.5,top
D36,246.511067,-175.914352,222.5,top
D37,178.763201,-125.147915,62.5,top
D38,238.823327,-125.147915,297.5,top
D4,119.41745,-101.563763,155.5,top
D5,126.259888,-86.549402,155.5,top
D6,133.102327,-71.535041,155.5,top
D7,137.715517,-106.598298,152.5,top
D8,145.334369,-91.962619,152.5,top
D9,152.953221,-77.326941,152.5,top
H1,115.903519,-85.401313,335.5,top
H2,301.683009,-85.401313,335.5,top
H3,138.861705,-82.956254,332.5,top
H4,278.724823,-82.956254,332.5,top
H5,179.793264,-154.745176,317.5,top
H6,237.793264,-154.745176,317.5,top
MCU1,208.793264,-97.755183,270.0,top
PAD1,196.793264,-137.495183,332.5,top
ROT1,187.411556,-129.649964,332.5,top
ROT2,230.174971,-129.649964,207.5,top
S1,100.0,-98.740445,340.5,top
S10,155.250345,-111.278397,332.5,top
S11,162.869197,-96.642718,332.5,top
S12,170.488049,-82.007039,332.5,top
S13,168.696423,-120.532746,332.5,top
S14,176.315275,-105.897067,332.5,top
S15,183.934127,-91.261388,332.5,top
S16,317.586528,-97.892575,19.5,top
S17,312.078715,-82.33899,19.5,top
S18,306.570901,-66.785406,19.5,top
S19,296.009727,-95.092265,24.5,top
S2,105.507813,-83.18686,340.5,top
S20,289.167288,-80.077904,24.5,top
S21,282.32485,-65.063543,24.5,top
S22,277.402049,-100.359607,27.5,top
S23,269.783197,-85.723928,27.5,top
S24,262.164345,-71.08825,27.5,top
S25,262.359351,-110.445104,27.5,top
S26,254.740499,-95.809425,27.5,top
S27,247.121647,-81.173746,27.5,top
S28,248.913273,-119.699453,27.5,top
S29,241.294421,-105.063774,27.5,top
S3,111.015626,-67.633276,340.5,top
S30,233.675569,-90.428095,27.5,top
S31,153.305314,-138.921766,312.5,top
S32,166.364078,-156.198262,317.5,top
S33,175.370119,-171.583572,317.5,top
S34,264.788556,-138.531938,47.5,top
S35,251.612278,-155.69092,42.5,top
S36,242.606237,-171.07623,42.5,top
S4,121.525636,-95.984585,335.5,top
S5,128.368075,-80.970224,335.5,top
S6,135.210513,-65.955863,335.5,top
S7,140.207647,-101.1929,332.5,top
S8,147.826499,-86.557221,332.5,top
S9,155.445351,-71.921543,332.5,top
SW1,191.293264,-81.300183,90.0,top
SW2,225.793264,-81.125183,0.0,top
